mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
9.121,0.821,0.59,0.106,0.244,0.144,0.764,450.087,0.0
10.185,0.831,0.56,0.106,0.244,0.144,0.764,450.087,0.0
11.177,0.851,0.55,0.106,0.244,0.144,0.764,450.087,0.0
12.134,0.857,0.43,0.106,0.244,0.144,0.764,450.087,0.0
12.157,0.865,0.40,0.106,0.244,0.144,0.764,450.087,0.0
12.182,0.876,0.39,0.106,0.244,0.144,0.764,450.087,0.0
12.197,0.878,0.35,0.106,0.244,0.144,0.764,450.087,0.0
13.120,0.880,0.29,0.106,0.244,0.144,0.764,450.087,0.0
13.168,0.899,0.27,0.106,0.244,0.144,0.764,450.087,0.0
14.431,0.927,0.171,0.085,0.182,0.075,0.514,448.553,0.0
